slug,type,title,total_count,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9
algorytmika-gier-saper,blog,Algorytmika gier — saper,8,1,0,0,3,1,0,0,2,1
barwa-dominujaca,blog,Znajdowanie dominującej barwy,8,1,2,0,0,0,1,1,2,1
jak-komputer-mierzy-czas,blog,Jak komputer mierzy czas?,8,1,0,1,2,0,0,0,3,1
liczby-zespolone,blog,Liczby zespolone,8,0,1,0,1,3,2,0,0,1
sumy-kontrolne,blog,Sumy kontrolne,8,0,3,1,0,1,0,0,1,2
szybkie-szukanie-duzych-liczb-pierwszych,blog,Szybkie szukanie dużych liczb pierwszych,8,2,1,2,1,0,0,1,0,1
dziel-i-zwyciezaj-a-mnozenie,blog,Dziel i zwyciężaj a mnożenie,7,1,0,1,0,1,0,1,2,1
flux-redux,blog,Wzorzec obserwator w UI — Flux i Redux,7,1,1,0,0,3,0,0,2,0
grafy-wprowadzenie,blog,Grafy — wprowadzenie,7,1,1,0,2,1,0,1,0,1
jak-narysowac-zegar-analogowy,blog,Jak narysować zegar analogowy?,7,1,1,1,0,0,1,1,2,0
liczby-wymierne-i-rzeczywiste-w-zero-jedynkowym-swiecie,blog,Liczby wymierne i rzeczywiste w zero-jedynkowym świecie,7,0,0,1,1,1,0,1,2,1
macierze-rzadkie,blog,Macierze rzadkie,7,0,0,1,1,0,2,0,2,1
problem-komiwojazera,blog,Problem komiwojażera,7,2,1,0,1,0,1,1,1,0
problem-selekcji,blog,Problem selekcji,7,0,0,0,1,0,0,0,2,4
proste-sposoby-na-znajdowanie-liczb-pierwszych,blog,Proste sposoby na znajdowanie liczb pierwszych,7,0,1,2,1,0,0,1,0,2
sudoku,blog,Sudoku,7,0,0,0,1,0,2,1,0,3
duze-liczby-pierwsze,blog,Duże liczby pierwsze,6,2,2,1,0,0,0,1,0,0
historie-zza-kulis-bloga-4-lecie,offtopic,Historie zza kulis bloga na 4-lecie,6,0,2,1,1,0,0,2,0,0
iteracja-co-to-jest,blog,Iteracja — co to jest?,6,0,1,1,0,0,1,0,1,2
krzywe-beziera,blog,Krzywe Béziera,6,1,0,2,0,0,0,1,1,1
mierzenie-czasu-wykonania,blog,Mierzenie czasu wykonania,6,1,0,0,0,2,1,2,0,0
opensource,offtopic,świstak.codes staje się open‑source!,6,1,1,1,0,2,0,1,0,0
porownanie-szybkich-testow-pierwszosci,blog,Porównanie szybkich testów pierwszości,6,0,0,1,3,0,0,2,0,0
renderowanie-wolf-3d,blog,Renderowanie grafiki w stylu Wolfenstein 3D,6,0,0,0,0,3,1,1,0,1
symbol-newtona,blog,Symbol Newtona i trójkąt Pascala,6,2,1,0,0,0,0,1,2,0
teoria-zbiorow-typescript,blog,Teoria zbiorów a TypeScript,6,1,0,0,1,1,2,1,0,0
testowanie-i-wykrywanie-sztucznej-inteligencji,blog,Testowanie i wykrywanie sztucznej inteligencji,6,1,1,0,2,0,0,1,0,1
zegar-binarny,blog,Zegar binarny,6,1,0,0,0,1,1,3,0,0
dlaczego-mierzenie-i-przetwarzanie-czasu-jest-trudne-czesc-1,blog,Dlaczego mierzenie i przetwarzanie czasu jest trudne? — część 1 z 2,5,2,1,2,0,0,0,0,0,0
dlaczego-mierzenie-i-przetwarzanie-czasu-jest-trudne-czesc-2,blog,Dlaczego mierzenie i przetwarzanie czasu jest trudne? — część 2 z 2,5,2,2,1,0,0,0,0,0,0
jak-narysowac-gwiazde,blog,Jak narysować gwiazdę?,5,1,0,1,0,0,1,1,0,1
liczby-pierwsze-i-proste-sposoby-na-ich-sprawdzanie,blog,Liczby pierwsze i proste sposoby na ich sprawdzanie,5,1,2,0,1,0,1,0,0,0
losowosc,blog,Losowość w informatyce,5,1,1,1,0,1,0,0,1,0
matura-probna-2023,blog,Rozwiązujemy maturę próbną 2023 z informatyki,5,1,0,1,0,2,0,1,0,0
podstawowe-operacje-na-barwach,blog,Podstawowe operacje na barwach,5,1,1,1,0,0,1,0,1,0
problem-komiwojazera-metaheurystyki,blog,Problem komiwojażera — przykładowe metaheurystyki,5,0,2,0,0,1,0,1,1,0
scentralizowany-obserwator,blog,Wzorzec obserwator w UI — podejścia scentralizowane,5,0,2,0,0,0,2,0,0,1
wyszukiwanie-w-przestrzeni,blog,Wyszukiwanie obiektów w przestrzeni,5,0,0,0,0,2,1,1,1,0
jak-narysowac-spirale,blog,Jak narysować spiralę?,4,1,1,0,1,0,0,0,0,1
kompresja-wideo,blog,Kompresja wideo,4,1,1,0,0,1,0,1,0,0
listy-najpopularniejsze-zlozone-typy-danych,blog,Listy — najpopularniejsze złożone typy danych,4,2,0,0,0,0,0,1,1,0
obserwator,blog,Podstawy działania UI — wzorzec obserwator,4,2,0,0,0,0,0,0,0,2
podobienstwo-ciagow-znakow,blog,Mierzenie podobieństwa ciągów znaków,4,2,0,0,1,0,0,0,1,0
unikalne-identyfikatory,blog,Unikalne identyfikatory,4,2,0,1,1,0,0,0,0,0
zliczanie-unikalnych-elementow,blog,Problem zliczania unikalnych elementów,4,0,0,1,0,0,0,1,0,2
algorytmiczne-rysowanie-roslin,blog,Algorytmiczne rysowanie roślin,3,1,0,0,0,0,0,0,1,1
chinskie-twierdzenie-o-resztach,blog,Chińskie twierdzenie o resztach,3,0,1,0,0,1,0,0,0,1
jak-komputer-zapisuje-dzwiek,blog,Jak komputer zapisuje dźwięk?,3,0,0,0,1,0,2,0,0,0
listy-z-dowiazaniami,blog,Listy z dowiązaniami,3,0,2,0,0,0,1,0,0,0
otoczka-wypukla,blog,Otoczka wypukła,3,0,0,0,0,0,1,1,0,1
podobienstwo-wektorow,blog,"Podobieństwo wektorów, czyli jak działają bazy wektorowe",3,0,0,2,0,0,1,0,0,0
rekurencja-co-to-jest,blog,Rekurencja — co to jest?,3,2,1,0,0,0,0,0,0,0
swistak-codes-powraca,offtopic,świstak.codes powraca!,3,1,0,1,0,1,0,0,0,0
tablice-i-listy-tablicowe,blog,Tablice i listy tablicowe,3,1,2,0,0,0,0,0,0,0
funkcja-ackermanna,blog,Funkcja Ackermanna,2,0,1,0,0,1,0,0,0,0
kolejnosc-elementow,blog,Ustawianie kolejności elementów,2,0,0,0,0,0,1,1,0,0
sztuczna-inteligencja-a-co-to-a-komu-to-potrzebne,blog,Sztuczna inteligencja — a co to? a komu to potrzebne?,2,1,0,0,0,0,0,0,0,1
brainfxck,blog,"Programistyczna ezoteryka, czyli Brainfuck",1,0,0,0,1,0,0,0,0,0
kody-2fa,blog,Jak działają kody 2FA?,1,0,0,0,0,1,0,0,0,0
komputer-w-komputerze-czyli-emulacja-wirtualizacja-i-konteneryzacja,blog,"Komputer w komputerze, czyli emulacja, wirtualizacja i konteneryzacja",1,0,0,0,0,0,0,0,0,1
odwrotna-notacja-polska,blog,Odwrotna notacja polska,1,1,0,0,0,0,0,0,0,0
silnia,blog,Silnia i powiązane zagadnienia,1,0,0,0,0,0,1,0,0,0
trudnosc-pisania,blog,Określanie trudności pisania słowa,1,0,1,0,0,0,0,0,0,0
dziwny-przypadek-reszty-z-dzielenia,blog,Dziwny przypadek reszty z dzielenia,0,0,0,0,0,0,0,0,0,0
